,momentum,volatility,strength,breadth,safe_haven,put_call
1997-05-27,,,1.0,-3.1621336970473983,,
1997-05-28,,,0.5,-2.769018479402417,,
1997-05-29,,,0.5,-0.6291969376928852,,
1997-05-30,,,1.0,2.0306570509785504,,
1997-06-02,,,1.0,2.388719405346087,,
1997-06-03,,,1.0,2.6816795134649802,,
1997-06-04,,,1.0,4.194101420107712,,
1997-06-05,,,1.0,4.522446616451765,,
1997-06-06,,,1.0,2.972910868005988,,
1997-06-09,,,1.0,2.0687452556412627,,
1997-06-10,,,0.8,2.238064300070124,,
1997-06-11,,,1.0,4.922052609148285,,
1997-06-12,,,1.0,6.027133952939507,,
1997-06-13,,,0.8333333333333334,5.47674596149596,,
1997-06-16,,,0.75,3.2082466957694207,,
1997-06-17,,,0.8,4.624929114720436,,
1997-06-18,,,1.0,5.0567601847712655,,
1997-06-19,,,1.0,3.5918946966310346,,
1997-06-20,,,1.0,2.393368388152664,,
1997-06-23,,,1.0,1.4127559539430883,,
1997-06-24,,,1.0,1.8831639623170726,,
1997-06-25,,,0.5,1.1771341509866953,,
1997-06-26,,,1.0,1.8722006689891146,,
1997-06-27,,,1.0,0.25907327462745644,,
1997-06-30,,,1.0,1.8483326792406474,,
1997-07-01,,,1.0,0.9668176466514382,,
1997-07-02,,,1.0,2.7910326199875417,,
1997-07-03,,,1.0,0.6472085072625328,,
1997-07-04,,,1.0,1.620443324123891,,
1997-07-07,,,1.0,1.8712718106468198,,
1997-07-08,,,1.0,1.7128587541655795,,
1997-07-09,,,1.0,4.49233898068093,,
1997-07-10,,,1.0,4.2210046205571246,,
1997-07-11,,,1.0,2.1808219622740097,,
1997-07-14,,,1.0,-0.9429638490485394,,
1997-07-15,,,0.5,0.13757503259665033,,
1997-07-16,,,1.0,-0.43289315514819554,,
1997-07-17,,,1.0,0.19126923669693133,,
1997-07-18,,,1.0,0.15649301184294379,,
1997-07-21,,,0.5,-1.508323899401229,,
1997-07-22,,,1.0,-0.32499228132827734,,
1997-07-23,,,1.0,2.825006315276866,,
1997-07-24,,,1.0,1.4022778943174348,,
1997-07-25,,,0.5,-1.579954450103919,,
1997-07-28,,,1.0,-1.1108718228122971,,
1997-07-29,,,1.0,0.36383214497175786,,
1997-07-30,,,1.0,0.47949902770416564,,
1997-07-31,,,1.0,2.937771931757955,,
1997-08-01,,,1.0,2.7672679441655994,,
1997-08-04,,,1.0,4.2641283179536735,,
1997-08-05,,,1.0,5.1251958965075515,,
1997-08-06,,,1.0,6.375160278960725,,
1997-08-07,,,1.0,3.5796765918769546,,
1997-08-08,,,1.0,2.019735393353871,,
1997-08-11,,,1.0,1.8343289581986215,,
1997-08-12,,,1.0,0.9553600567079624,,
1997-08-13,,,1.0,-0.854705408148032,,
1997-08-14,,,1.0,-2.6993044248483913,,
1997-08-15,,,1.0,-2.208521802148683,,
1997-08-18,,,0.5,-4.534245110848924,,
1997-08-19,,,0.5,-6.800745999785485,,
1997-08-20,,,1.0,-3.927883090733576,,
1997-08-21,,,1.0,-5.940995256054745,,
1997-08-22,,,1.0,-7.224450664044793,,
1997-08-25,,,0.5,-7.9109141796730125,,
1997-08-26,,,1.0,-5.563475237914282,,
1997-08-27,,,1.0,-2.551934285566228,,
1997-08-28,,,0.5,-4.815218960917825,,
1997-08-29,,,0.5,-6.66699733166004,,
1997-09-01,,,0.5,-4.909361453176396,,
1997-09-02,,,0.5,-2.7440230071443223,,
1997-09-03,,,0.5,-0.24510973311808035,,
1997-09-04,,,0.5,-0.9278170543693389,,
1997-09-05,,,0.5,1.6045133191523608,,
1997-09-08,,,1.0,1.4946018065792044,,
1997-09-09,,,1.0,1.4046742053829853,,
1997-09-10,,,1.0,1.3310970771315334,,
1997-09-11,,,0.5,1.2708976085621637,,
1997-09-12,,,0.5,-0.2329019566309579,,
1997-09-15,,,0.5,-1.6451016008798756,,
1997-09-16,,,0.5,-0.8005376734471703,,
1997-09-17,,,0.5,-0.47316718736586644,,
1997-09-18,,,0.5,-3.4780458805720746,,
1997-09-19,,,0.5,-2.1184011750135148,,
1997-09-22,,,0.5,-4.460510052283786,,
1997-09-23,,,0.5,-4.013144588232188,,
1997-09-24,,,1.0,-1.4653001176445157,,
1997-09-25,,,1.0,-0.28979100534551205,,
1997-09-26,,,1.0,0.8538073592627635,,
1997-09-29,,,1.0,2.6985696575786258,,
1997-09-30,,,1.0,3.117011538018876,,
1997-10-01,,,0.5,0.18664580383362386,,
1997-10-02,,,0.5,0.15271020313660133,,
1997-10-03,,,0.5,0.12494471165721927,,
1997-10-06,,,0.5,0.10222749135590666,,
1997-10-07,,,0.5,0.0836406747457418,,
1997-10-08,,,0.5,0.0684332793374251,,
1997-10-09,,,1.0,0.6014454103669845,,
1997-10-10,,,1.0,2.4920916993911706,,
1997-10-13,,,1.0,0.40262048132004735,,
1997-10-14,,,0.5,-1.3069468789199623,,
1997-10-15,,,0.5,0.2034070990654863,,
1997-10-16,,,1.0,2.711878535599036,,
1997-10-17,,,1.0,2.764264256399211,,
1997-10-20,,,1.0,2.2616707552357176,,
1997-10-21,,,1.0,-0.1495421093525962,,
1997-10-22,,,0.5,0.05946554689333052,,
1997-10-23,,,0.5,-2.6786190979963678,,
1997-10-24,,,0.5,-4.191597443815211,,
1997-10-27,,,1.0,-4.3385797267579,,
1997-10-28,,,0.5,-7.00429250371101,,
1997-10-29,,,0.5,-2.276239321218096,,
1997-10-30,,,0.5,-4.044195808269352,,
1997-10-31,,,0.5,-3.3088874794931056,,
1997-11-03,,,0.5,-3.798180665039814,,
1997-11-04,,,0.5,-3.2894205441234843,,
1997-11-05,,,0.5,-2.5095258997373957,,
1997-11-06,,,0.5,-3.6896120997851427,,
1997-11-07,,,1.0,-3.5642280816423897,,
1997-11-10,,,0.5,-3.8252775213437733,,
1997-11-11,,,0.5,-3.4934088810994504,,
1997-11-12,,,0.5,-5.585516357263188,,
1997-11-13,,,0.5,-7.479058837760792,,
1997-11-14,,,0.5,-6.11922995816792,,
1997-11-17,,,1.0,-5.188460874864662,,
1997-11-18,,,0.5,-6.063286170343814,,
1997-11-19,,,0.5,-7.324506866644939,,
1997-11-20,,,0.0,-4.720051072709494,,
1997-11-21,,,0.0,-1.8618599685804933,,
1997-11-24,,,0.0,-4.25061270156586,,
1997-11-25,,,0.5,-1.8414103921902474,,
1997-11-26,,,0.5,-0.9611539572465656,,
1997-11-27,,,1.0,1.2136013077073569,,
1997-11-28,,,0.5,-1.3706898391485278,,
1997-12-01,,,0.5,-0.9396553229397043,,
1997-12-02,,,0.5,-2.041536173314304,,
1997-12-03,,,1.0,-0.03398414180261096,,
1997-12-04,,,0.5,-2.0278052069294104,,
1997-12-05,,,0.3333333333333333,-2.5682042602149724,,
1997-12-08,,,0.5,-3.373985303812251,,
1997-12-09,,,0.0,-5.48780615766457,,
1997-12-10,,,0.0,-5.035477765361921,,
1997-12-11,,,0.0,-5.756299989841572,,
1997-12-12,,,0.0,-6.346063628052195,,
1997-12-15,,,0.0,-4.28314296840634,,
1997-12-16,,,0.5,-1.8680260650597311,,
1997-12-17,,,0.5,0.8352514013147672,,
1997-12-18,,,0.5,-0.04388521710610015,,
1997-12-19,,,0.0,0.8731848223677369,,
1997-12-22,,,0.5,3.078060309209968,,
1997-12-23,,,0.5,3.427503889353611,,
1997-12-24,,,0.5,2.2588668185620446,,
1997-12-25,,,0.5,1.8481637606416728,,
1997-12-26,,,0.0,1.8757703496159142,,
1997-12-29,,,0.0,2.807448467867567,,
1997-12-30,,,0.5,0.2970032918916441,,
1997-12-31,,,0.5,3.5157299660931653,,
1998-01-01,,,0.5,3.7855972449853175,,
1998-01-02,,,0.5,5.460943200442533,,
1998-01-05,,,0.5,6.46804443672571,,
1998-01-06,,,0.5,2.9283999936846694,,
1998-01-07,,,0.5,4.395963631196548,,
1998-01-08,,,0.5,0.505788425524446,,
1998-01-09,,,0.0,-3.0407185609345464,,
1998-01-12,,,0.0,-5.942406095310085,,
1998-01-13,,,0.0,-2.861968623435522,,
1998-01-14,,,0.5,-1.4325197828108807,,
1998-01-15,,,0.5,-0.8084252768452657,,
1998-01-16,,,0.0,0.9749247734902383,,
1998-01-19,,,1.0,2.070392996492014,,
1998-01-20,,,0.5,0.05759426985710099,,
1998-01-21,,,0.5,0.2289407662467191,,
1998-01-22,,,0.0,-2.903593918525414,,
1998-01-23,,,0.0,-4.012031387884431,,
1998-01-26,,,0.0,-3.282571135541806,,
1998-01-27,,,0.0,-5.776649110897844,,
1998-01-28,,,0.0,-6.362712908916418,,
1998-01-29,,,0.0,-5.933128743658886,,
1998-01-30,,,0.0,-2.4907416993572684,,
1998-02-02,,,0.5,-0.7651522994741277,,
1998-02-03,,,0.0,-1.8987609722970142,,
1998-02-04,,,0.0,-2.0989862500611935,,
1998-02-05,,,0.5,-0.4446251136864299,,
1998-02-06,,,0.3333333333333333,-0.5456023657434427,,
1998-02-09,,,1.0,0.09905260984627459,,
1998-02-10,,,0.5,-1.5553205919439583,,
1998-02-11,,,0.0,-1.9998077570450574,,
1998-02-12,,,0.0,-3.090751801218684,,
1998-02-13,,,0.0,-0.7106151100880126,,
1998-02-16,,,0.0,-0.581412362799283,,
1998-02-17,,,0.0,1.8879353395278609,,
1998-02-18,,,0.5,2.453765277795523,,
1998-02-19,,,0.5,3.8258079545599744,,
1998-02-20,,,0.5,2.2211155991854326,,
1998-02-23,,,0.0,4.908185490242628,,
1998-02-24,,,0.0,4.1976063101985135,,
1998-02-25,,,0.0,6.161677890162422,,
1998-02-26,,,0.5,4.859554637405617,,
1998-02-27,,,1.0,6.703271976059143,,
1998-03-02,,,1.0,8.211767980412027,,
1998-03-03,,,1.0,3.991446529428019,,
1998-03-04,,,1.0,6.720274433168381,,
1998-03-05,,,0.5,3.1347699907741275,,
1998-03-06,,,0.5,0.9284481742697395,,
1998-03-09,,,1.0,2.5778212334934243,,
1998-03-10,,,1.0,0.2909446455855275,,
1998-03-11,,,1.0,-0.6710452899754781,,
1998-03-12,,,0.5,-0.7308552372526639,,
1998-03-13,,,0.5,-0.5979724668430885,,
1998-03-16,,,0.5,2.238022527128384,,
1998-03-17,,,0.0,-0.1688906596222328,,
1998-03-18,,,1.0,3.3163621875818117,,
1998-03-19,,,1.0,2.3497508807487546,,
1998-03-20,,,1.0,2.104341629703526,,
1998-03-23,,,1.0,3.176279515211977,,
1998-03-24,,,1.0,3.144228694264345,,
1998-03-25,,,1.0,5.663459840761739,,
1998-03-26,,,0.5,2.6337398697141476,,
1998-03-27,,,1.0,4.33669625703885,,
1998-03-30,,,1.0,1.1845696648499657,,
